feature,positive_impact,negative_impact
Historical_Assignee_SLA,0.5251048,0.24619265
Historical_Category_SLA,0.3544044,0.2083613
Created_DayOfWeek,0.21614562,0.17415382
Created_Year,0.20557506,0.11820471
Followers,0.18120009,0.23354344
Assignee_Avg_Response_Time,0.13238627,0.07286602
Daily_Request_Volume,0.116597384,0.05725077
Created_Month,0.09480712,0.073100716
Report_Source_Encoded,0.0817075,0.035191756
Created_Hour,0.07364918,0.05627548
Allocated_Time_Hours,0.06899019,0.08029181
Created_Day,0.0550086,0.035031836
Request_Type,0.044086475,0.038404725
Longitude,0.033823915,0.019343423
Category_Encoded,0.032529306,0.03034146
Latitude,0.03219263,0.020065278
Assignee_name_Encoded,0.026875408,0.018411877
Assignee_Total_Requests,0.025531689,0.0145532
neu,0.022169188,0.009498933
Agency_Name_Encoded,0.021893427,0.01608035
Historical_Agency_SLA,0.016744921,0.01547791
pos,0.015718123,0.012569668
compound,0.009962321,0.012811178
neg,0.008227506,0.0061322227
Created_IsWeekend,0.00062684587,0.0004924507
